"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"MMRN2",186,192,3.00819519706379e-06,4.1945141260531e-06,228,0.46641780760348,0.03767,0.05956276514686
"SNU13",9143,9354,0.000147870584337389,0.00020435148507865,12284,0.466448136980999,0,0
"KLHDC4",578,593,9.34804744033803e-06,1.29549316497369e-05,1124,0.466506790415486,0,0
"MED16",531,545,8.58791209484341e-06,1.19063031182236e-05,1026,0.466710585671606,0,0
"ENSA",4472,4577,7.23260694691897e-05,9.99910997653388e-05,7237,0.466732705386311,0,0
"TSPAN12",96,100,1.55261687590389e-06,2.18464277398599e-06,159,0.467216298369555,0.04619,0.0714794972335819
"PRKRA",1162,1191,1.879313343542e-05,2.60190954381731e-05,2177,0.467242940793116,0,0
"NPM3",863,885,1.39573787906777e-05,1.9334088549776e-05,1537,0.467261840161338,0,0
"DPH2",181,187,2.92732973477713e-06,4.0852819873538e-06,363,0.467279007875492,0.00165,0.00342622659780504
"ARL4D",138,143,2.23188675911185e-06,3.12403916679997e-06,257,0.467371540151656,0.01175,0.0208834783809918
"RP3-395M20.9",53,56,8.57173900238608e-07,1.22339995343215e-06,109,0.467396170096647,0.06672,0.0994231549687283
"MINPP1",222,229,3.59042652552775e-06,5.00283195242792e-06,441,0.467510564204192,0.00045,0.00102454432843744
"S100A13",1487,1524,2.4049388484053e-05,3.32939558755465e-05,1324,0.467600349075348,1e-05,2.79210069444444e-05
"NHP2",3301,3381,5.33873782016537e-05,7.38627721884663e-05,5324,0.467600810578123,0,0
"SCARB2",896,919,1.44910908417697e-05,2.00768670929313e-05,1518,0.467614437025684,0,0
"TACC3",516,530,8.34531570798343e-06,1.15786067021257e-05,968,0.467644905152603,0,0
"CTD-2270L9.4",94,98,1.52027069098923e-06,2.14094991850627e-06,187,0.467875549872529,0.02048,0.0344573924414803
"VAT1",303,312,4.90044701457167e-06,6.81608545483629e-06,531,0.467898624701206,0.00044,0.00100444286728176
"VRK3",803,824,1.29869932432378e-05,1.80014564576446e-05,1562,0.467972108417326,0,0
"PSMA4",5410,5543,8.74964301941674e-05,0.000121094748962043,7543,0.468383209948043,0,0
"H3F3C",380,391,6.14577513378625e-06,8.54195324628522e-06,752,0.468476796800887,1e-05,2.79210069444444e-05
"RTKN",51,54,8.24827715323944e-07,1.17970709795243e-06,103,0.468557102518854,0.07403,0.10932851010101
"KISS1R",51,54,8.24827715323944e-07,1.17970709795243e-06,101,0.468557102518854,0.07832,0.114820546946217
"ACO2",1019,1046,1.64803812140215e-05,2.28513634158935e-05,1907,0.469102681388121,0,0
"UBXN6",1054,1082,1.70464394500282e-05,2.36378348145284e-05,1991,0.469279325120128,0,0
"NXT1",1364,1400,2.20600981118012e-05,3.05849988358039e-05,2534,0.469569259938068,0,0
"NME4",883,907,1.42808406398244e-05,1.98147099600529e-05,1561,0.469686456529811,0,0
"CTNNAL1",563,579,9.10545105347804e-06,1.26490816613789e-05,829,0.469833012641323,0.00024,0.000569712177121771
"MRPL22",1506,1546,2.43566772407423e-05,3.37745772858234e-05,2697,0.469974535270019,0,0
"JAM2",403,415,6.51775626030489e-06,9.06626751204186e-06,374,0.469992234034613,0.02937,0.0477355255179384
