"x"
"MT-ND1"
"MT-ND2"
"MT-CO1"
"MT-CO2"
"MT-ATP8"
"MT-ATP6"
"MT-CO3"
"MT-ND3"
"MT-ND4L"
"MT-ND4"
"MT-ND5"
"MT-ND6"
"MT-CYB"
"MTRNR2L11"
"MTRNR2L12"
"MTRNR2L13"
"MTRNR2L6"
"MTRNR2L10"
"MTRNR2L8"
"MTRNR2L7"
"MTRNR2L5"
"MTRNR2L4"
"MTRNR2L1"
"MTRNR2L3"
