x
PLA2G2A
CLCA1
REG4
S100A14
ITLN1
ELF3
PIGR
EPCAM
REG1B
REG1A
REG3A
FABP1
RBP2
SST
FABP2
SPINK1
FABP6
AGR2
AGR3
CLDN3
CLDN4
DEFA6
DEFA5
SPINK4
ALDOB
LCN2
MUC2
KRT8
KRT18
TSPAN8
OLFM4
GPX2
IFI27
PHGR1
MT1G
CLDN7
KRT19
FXYD3
LGALS4
FCGBP
TFF3
TFF1
